観光スポット名称,所在地,緯度,経度,座標系,説明,八丈町ホームページ記載
ホタル水路,,33.108218,139.80102,JGD2011,八丈島は伊豆諸島で唯一、水田耕作がなされた島で鴨川に沿って水田が残っています。ホタル水路は、鴨川の砂防とともに平成元年につくられたもので、毎年6月から7月にかけてホタルの光が美しく幻想的です。,http://www.town.hachijo.tokyo.jp/kankou_spot/mitsune.html#01
登龍峠展望,,33.113154,139.835245,JGD2011,「ノボリュウトウゲ」または「ノボリョウトウゲ」といい、この道を下方から望むとあたかも龍が昇天するように見えるので、この名が付けられました。峠道の頂上近くの展望台は、八丈島で一、二を争う景勝地として名高く、新東京百景の一つにも選ばれました。眼前に八丈富士と神止山、八丈小島を、眼下には底土港や神湊港、三根市街を一望できます。,http://www.town.hachijo.tokyo.jp/kankou_spot/mitsune.html#02
八丈富士,,33.139168,139.762187,JGD2011,八丈島の北西部を占める山で、東の三原山に対して『西山』と呼ばれます。伊豆諸島の中では最も高い標高854.3メートル。1605年の噴火後、活動を停止している火山で火口は直径400メートル深さ50メートルで、 さらに火口底には中央火口丘がある二重式火山です。裾野が大きくのびた優雅な姿は、八丈島を代表する美しさのひとつです。,http://www.town.hachijo.tokyo.jp/kankou_spot/mitsune.html#03
永郷展望,,33.153559,139.747501,JGD2011,島の北端に近く大越鼻灯台を間近に見る展望台で、すぐ左手に八丈小島が望めます。ここからの八丈小島は、標高618メートルの大平山を中心に形のよい稜線が左右に広がり特に美しいと言われています。周辺は、日本一のビロウヤシの群生地でフェニックス・ロベレニーなど南国の雰囲気が漂っています。空気の澄んだ日には、御蔵島と三宅島を望むことができます。,http://www.town.hachijo.tokyo.jp/kankou_spot/okago.html#04
ふれあい牧場,東京都八丈島 八丈町大賀郷5627-1,33.131167,139.767181,JGD2011,八丈富士の中腹に広がる「ふれあい牧場」は、穏やかな山の傾斜地に黒毛和牛やジャージーが放牧されています。また、牧場内の展望台からは、島の中心部や三原山、八丈島空港が一望でき、夜には満天の星空が眺められます。,http://www.town.hachijo.tokyo.jp/kankou_spot/okago.html#05
空港道路,,33.116885,139.781262,JGD2011,神湊商港（底土港）から八重根商港（都道）までの区間の路線。道路沿いに南国の象徴ハイビスカスが咲き、等間隔にビロウヤシが植栽されている光景は見ごたえがあります。,http://www.town.hachijo.tokyo.jp/kankou_spot/okago.html#06
南原千畳岩海岸,,33.105841,139.755052,JGD2011,八丈富士の噴火によりできた溶岩の台地。海沿いに長さ500メートル、幅100メートルの範囲に黒々とした岩が広がっています。海に面した部分は、長い年月を経て浸食され岩壁を形づくり、磯釣りの好ポイントになっています。眼前に八丈小島を望み、ここから眺める夕陽は格別です。,http://www.town.hachijo.tokyo.jp/kankou_spot/okago.html#07
八丈植物公園,東京都八丈島八丈町大賀郷2843,33.11192,139.783451,JGD2011,昭和37年開園、熔岩原の自然林の中に多種類の亜熱帯植物が繁茂し、いたる所に小鳥のさえずりが聞こえ、原色の花と葉の緑が園路の赤砂利や黒い熔岩に映えた美しい南国カラーの大自然公園。園内は「八丈の森」「日本の森」「世界の森」など8つのゾーンからなり、それぞれ独特の景観を楽しませてくれます。また、園内には「キョン」が飼育されています。,http://www.town.hachijo.tokyo.jp/kankou_spot/okago.html#08
八丈島歴史民俗資料館,東京都八丈島八丈町大賀郷1186,33.10983,139.788937,JGD2011,"八丈島内で発見された先史時代の遺跡の展示や八丈島の暮らしと産業、流人文化などについて展示しています。平成30年6月9日より場所を八丈支庁展示ホール内へ移し再オープンしました。
【開館時間】午前9:00～午後4:30（年中無休）
【入館料】100円
【電話】070-4818-3631",http://www.town.hachijo.tokyo.jp/kankou_spot/okago.html#09
陣屋跡（玉石垣）,,33.098736,139.781574,JGD2011,八丈島に陣屋が設置されたのは、亭禄元年（1528年）のことです。それから明治41年に向里に支庁が移転するまで、実に380年の間ここが八丈島の政治の中心でした。昭和30年に、都の旧跡に「島役所跡」として指定されました。周りの玉石垣は、八丈島の中で一番古く、規模・美しさともに秀逸です。これらの玉石は、流人たちが一日の糧を得るために前崎ヶ浜や横間ヶ浦からひとつひとつ運んできたものとされ、島の歴史を語る上でも貴重なものといえます。,http://www.town.hachijo.tokyo.jp/kankou_spot/okago.html#10
