都道府県コード,市区町村コード,都道府県名,市区町村名,人口_総数,人口_男,人口_女
00,00000,全国,全国,126146099,61349581,64796518
01,01000,北海道,北海道,5224614,2465088,2759526
01,01100,北海道,札幌市,1973395,918682,1054713
01,01101,北海道,札幌市中央区,248680,112853,135827
01,01102,北海道,札幌市北区,289323,136596,152727
01,01103,北海道,札幌市東区,265379,126023,139356
01,01104,北海道,札幌市白石区,211835,100062,111773
01,01105,北海道,札幌市豊平区,225298,104154,121144
01,01106,北海道,札幌市南区,135777,62347,73430
01,01107,北海道,札幌市西区,217040,100027,117013
01,01108,北海道,札幌市厚別区,125083,56755,68328
01,01109,北海道,札幌市手稲区,142625,66913,75712
01,01110,北海道,札幌市清田区,112355,52952,59403
01,01202,北海道,函館市,251084,113965,137119
01,01203,北海道,小樽市,111299,50136,61163
01,01204,北海道,旭川市,329306,152108,177198
01,01205,北海道,室蘭市,82383,40390,41993
01,01206,北海道,釧路市,165077,77506,87571
01,01207,北海道,帯広市,166536,79623,86913
01,01208,北海道,北見市,115480,54729,60751
01,01209,北海道,夕張市,7334,3381,3953
01,01210,北海道,岩見沢市,79306,37105,42201
01,01211,北海道,網走市,35759,18060,17699
01,01212,北海道,留萌市,20114,9649,10465
01,01213,北海道,苫小牧市,170113,83522,86591
01,01214,北海道,稚内市,33563,16651,16912
01,01215,北海道,美唄市,20413,9565,10848
01,01216,北海道,芦別市,12555,5762,6793
01,01217,北海道,江別市,121056,57523,63533
01,01218,北海道,赤平市,9698,4388,5310
01,01219,北海道,紋別市,21215,9901,11314
01,01220,北海道,士別市,17858,8416,9442
01,01221,北海道,名寄市,27282,13322,13960
01,01222,北海道,三笠市,8040,3631,4409
01,01223,北海道,根室市,24636,11762,12874
01,01224,北海道,千歳市,97950,49790,48160
01,01225,北海道,滝川市,39490,18832,20658
01,01226,北海道,砂川市,16486,7607,8879
01,01227,北海道,歌志内市,2989,1399,1590
01,01228,北海道,深川市,20039,9362,10677
01,01229,北海道,富良野市,21131,9947,11184
01,01230,北海道,登別市,46391,22146,24245
01,01231,北海道,恵庭市,70331,34088,36243
01,01233,北海道,伊達市,32826,15176,17650
01,01234,北海道,北広島市,58171,27763,30408
01,01235,北海道,石狩市,56869,27324,29545
01,01236,北海道,北斗市,44302,20542,23760
01,01303,北海道,当別町,15916,7703,8213
01,01304,北海道,新篠津村,3044,1484,1560
01,01331,北海道,松前町,6260,2805,3455
01,01332,北海道,福島町,3794,1755,2039
01,01333,北海道,知内町,4167,2060,2107
01,01334,北海道,木古内町,3832,1750,2082
01,01337,北海道,七飯町,27686,12679,15007
01,01343,北海道,鹿部町,3760,1779,1981
01,01345,北海道,森町,14338,6658,7680
01,01346,北海道,八雲町,15826,7894,7932
01,01347,北海道,長万部町,5109,2448,2661
01,01361,北海道,江差町,7428,3569,3859
01,01362,北海道,上ノ国町,4306,1965,2341
01,01363,北海道,厚沢部町,3592,1717,1875
01,01364,北海道,乙部町,3403,1538,1865
01,01367,北海道,奥尻町,2410,1280,1130
01,01370,北海道,今金町,5072,2446,2626
01,01371,北海道,せたな町,7398,3466,3932
01,01391,北海道,島牧村,1356,687,669
01,01392,北海道,寿都町,2838,1397,1441
01,01393,北海道,黒松内町,2791,1353,1438
01,01394,北海道,蘭越町,4568,2197,2371
01,01395,北海道,ニセコ町,5074,2624,2450
01,01396,北海道,真狩村,2045,1035,1010
01,01397,北海道,留寿都村,1911,971,940
01,01398,北海道,喜茂別町,2156,1112,1044
01,01399,北海道,京極町,2941,1420,1521
01,01400,北海道,倶知安町,15129,7787,7342
01,01401,北海道,共和町,5772,3047,2725
01,01402,北海道,岩内町,11648,5500,6148
01,01403,北海道,泊村,1569,784,785
01,01404,北海道,神恵内村,870,400,470
01,01405,北海道,積丹町,1831,855,976
01,01406,北海道,古平町,2745,1307,1438
01,01407,北海道,仁木町,3180,1526,1654
01,01408,北海道,余市町,18000,8342,9658
01,01409,北海道,赤井川村,1165,606,559
01,01423,北海道,南幌町,7319,3461,3858
01,01424,北海道,奈井江町,5120,2405,2715
01,01425,北海道,上砂川町,2841,1292,1549
01,01427,北海道,由仁町,4822,2302,2520
01,01428,北海道,長沼町,10289,4919,5370
01,01429,北海道,栗山町,11272,5176,6096
01,01430,北海道,月形町,3691,2185,1506
01,01431,北海道,浦臼町,1732,845,887
01,01432,北海道,新十津川町,6484,2976,3508
01,01433,北海道,妹背牛町,2693,1290,1403
01,01434,北海道,秩父別町,2329,1072,1257
01,01436,北海道,雨竜町,2389,1165,1224
01,01437,北海道,北竜町,1724,823,901
01,01438,北海道,沼田町,2909,1392,1517
01,01452,北海道,鷹栖町,6567,3105,3462
01,01453,北海道,東神楽町,10127,4702,5425
01,01454,北海道,当麻町,6319,2912,3407
01,01455,北海道,比布町,3520,1662,1858
01,01456,北海道,愛別町,2605,1215,1390
01,01457,北海道,上川町,3500,1708,1792
01,01458,北海道,東川町,8314,3877,4437
01,01459,北海道,美瑛町,9668,4495,5173
01,01460,北海道,上富良野町,10348,5363,4985
01,01461,北海道,中富良野町,4733,2260,2473
01,01462,北海道,南富良野町,2376,1228,1148
01,01463,北海道,占冠村,1306,653,653
01,01464,北海道,和寒町,3192,1497,1695
01,01465,北海道,剣淵町,2926,1425,1501
01,01468,北海道,下川町,3126,1491,1635
01,01469,北海道,美深町,4145,2038,2107
01,01470,北海道,音威子府村,706,365,341
01,01471,北海道,中川町,1528,805,723
01,01472,北海道,幌加内町,1370,681,689
01,01481,北海道,増毛町,3908,1776,2132
01,01482,北海道,小平町,2994,1431,1563
01,01483,北海道,苫前町,2936,1428,1508
01,01484,北海道,羽幌町,6548,3163,3385
01,01485,北海道,初山別村,1080,518,562
01,01486,北海道,遠別町,2520,1222,1298
01,01487,北海道,天塩町,2950,1478,1472
01,01511,北海道,猿払村,2611,1285,1326
01,01512,北海道,浜頓別町,3448,1675,1773
01,01513,北海道,中頓別町,1637,818,819
01,01514,北海道,枝幸町,7565,3600,3965
01,01516,北海道,豊富町,3974,2098,1876
01,01517,北海道,礼文町,2509,1284,1225
01,01518,北海道,利尻町,2004,994,1010
01,01519,北海道,利尻富士町,2458,1188,1270
01,01520,北海道,幌延町,2371,1290,1081
01,01543,北海道,美幌町,18697,9063,9634
01,01544,北海道,津別町,4373,2096,2277
01,01545,北海道,斜里町,11418,5672,5746
01,01546,北海道,清里町,3883,1882,2001
01,01547,北海道,小清水町,4623,2207,2416
01,01549,北海道,訓子府町,4677,2241,2436
01,01550,北海道,置戸町,2775,1281,1494
01,01552,北海道,佐呂間町,4875,2296,2579
01,01555,北海道,遠軽町,19241,9337,9904
01,01559,北海道,湧別町,8270,3947,4323
01,01560,北海道,滝上町,2421,1177,1244
01,01561,北海道,興部町,3628,1768,1860
01,01562,北海道,西興部村,1053,520,533
01,01563,北海道,雄武町,4199,1999,2200
01,01564,北海道,大空町,6775,3287,3488
01,01571,北海道,豊浦町,3821,1781,2040
01,01575,北海道,壮瞥町,2743,1285,1458
01,01578,北海道,白老町,16212,7706,8506
01,01581,北海道,厚真町,4432,2249,2183
01,01584,北海道,洞爺湖町,8442,3909,4533
01,01585,北海道,安平町,7340,3632,3708
01,01586,北海道,むかわ町,7651,3779,3872
01,01601,北海道,日高町,11279,5712,5567
01,01602,北海道,平取町,4776,2395,2381
01,01604,北海道,新冠町,5309,2603,2706
01,01607,北海道,浦河町,12074,5975,6099
01,01608,北海道,様似町,4043,1923,2120
01,01609,北海道,えりも町,4374,2230,2144
01,01610,北海道,新ひだか町,21517,10473,11044
01,01631,北海道,音更町,43576,20630,22946
01,01632,北海道,士幌町,5848,2891,2957
01,01633,北海道,上士幌町,4778,2343,2435
01,01634,北海道,鹿追町,5266,2572,2694
01,01635,北海道,新得町,5817,2900,2917
01,01636,北海道,清水町,9094,4478,4616
01,01637,北海道,芽室町,18048,8612,9436
01,01638,北海道,中札内村,3884,1880,2004
01,01639,北海道,更別村,3080,1519,1561
01,01641,北海道,大樹町,5420,2714,2706
01,01642,北海道,広尾町,6387,3096,3291
01,01643,北海道,幕別町,25766,12243,13523
01,01644,北海道,池田町,6294,2967,3327
01,01645,北海道,豊頃町,3022,1478,1544
01,01646,北海道,本別町,6618,3228,3390
01,01647,北海道,足寄町,6563,3215,3348
01,01648,北海道,陸別町,2264,1138,1126
01,01649,北海道,浦幌町,4387,2138,2249
01,01661,北海道,釧路町,19105,9101,10004
01,01662,北海道,厚岸町,8892,4173,4719
