都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
422037,,長崎県,島原市,島原城,シマバラジョウ,,,長崎県島原市城内一丁目1183-1,,32.78926,130.36723,月火水木金土日,09:00,17:30,入館は17:00まで,550円,"【入館料】大人550円、子供280円　※団体割引有り
【駐車料】乗用車330円、小型バス550円、大型バス1,100円",松倉豊後守重政が1618年（元和4年）から7年の歳月をかけて築いた島原城。現在復元された天守閣にはキリシタン史料や郷土資料、民俗資料などを展示しています。,,"島原鉄道　島原駅から
徒歩10分",駐車スペース103台,,"（株）島原観光ビューロー
（島原城）",0957-62-4766,,https://www.city.shimabara.lg.jp/rekishi/common/images/rekishi/btn02.jpg,CC BYに準拠,https://shimabarajou.com/,
422037,,長崎県,島原市,武家屋敷,ブケヤシキ,,,長崎県島原市下の丁,,32.79273,130.36284,月火水木金土日,09:00,17:00,,無料,無料,島原城築城の際、外郭の西に接して扶持取70石以下の武士たちの住まいが建設されました。山本邸・篠塚邸・鳥田邸の3軒が無料公開され、当時の武家生活の様子を見ることができます。,,"島原鉄道　島原駅から
徒歩15分",駐車スペース23台,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=935&sub_id=3&flid=10030,CC BYに準拠,https://www.city.shimabara.lg.jp/page935.html,
422037,,長崎県,島原市,武家屋敷水路,ブケヤシキスイロ,,,長崎県島原市下の丁,,32.79269,130.36269,月火水木金土日,00:00,00:00,終日開放,無料,無料,武家屋敷の通りには、当時の姿のまま残る街水路（約400ｍ）が流れています。現代になっても地域住民が水路を大切に扱い、綺麗に保存されています。,,"島原鉄道　島原駅から
徒歩15分",駐車スペース23台,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2872&sub_id=1&flid=10041,CC BYに準拠,https://www.city.shimabara.lg.jp/page2872.html,
422037,,長崎県,島原市,時鐘楼,ジショウロウ,,,長崎県島原市城内一丁目1222-5,,32.79151,130.36487,月火水木金土日,00:00,00:00,終日開放,無料,無料,1675年（延宝3年）に鋳造した青銅の時鐘。島原城下の住民に親しまれていましたが、太平洋戦争時に供出し、1980年（昭和55年）に復元されました。,,"島原鉄道　島原駅から
徒歩15分",島原城又は武家屋敷の駐車場を利用,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2897&sub_id=1&flid=9974,CC BYに準拠,https://www.city.shimabara.lg.jp/page2897.html,
422037,,長崎県,島原市,鯉の泳ぐまち,コイノオヨグマチ,,,長崎県島原市新町二丁目,,32.78494,130.37065,月火水木金土日,00:00,00:00,終日開放,無料,無料,湧き水が流れる清流に、色鮮やかな錦鯉の姿を見ることができます。地域住民によって美しく保たれ、水の都島原の見所の一つです。,,"島原鉄道　島原駅から
徒歩7分",周辺パーキングを利用,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=942&sub_id=3&flid=9955,CC BYに準拠,https://www.city.shimabara.lg.jp/page942.html,
422037,,長崎県,島原市,清流亭（鯉の泳ぐまち観光交流センター）,セイリュウテイ,,,長崎県島原市新町二丁目247-1,,32.78507,130.37097,月火水木金土日,09:00,18:00,,無料,無料,周辺観光の拠点として、島原スペシャルクオリティ商品等の地元特産品の展示販売や観光情報の提供を行っています。,,"島原鉄道　島原駅から
徒歩7分",駐車スペース5台,,"（株）島原観光ビューロー
（清流亭）",0957-64-2450,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2692&sub_id=2&flid=8058,CC BYに準拠,https://www.shimabaraonsen.com/guide/archives/77,
422037,,長崎県,島原市,湧水庭園　四明荘,ユウスイテイエンシメイソウ,,,長崎県島原市新町二丁目125,,32.78433,130.37051,月火水木金土日,09:00,18:00,,310円,【入館料】大人310円、小人150円,"庭園には大小3つの池があり、1日3,000トンの水が湧き出しています。静寂な佇まいはどこか懐かしく、時間を忘れ、まったりできる空間を演出しています。",,"島原鉄道　島原駅から
徒歩7分",周辺パーキングを利用,,"（株）島原観光ビューロー
（四明荘）",0957-63-1121,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=943&sub_id=13&flid=19633,CC BYに準拠,https://www.shimabaraonsen.com/guide/archives/79,
422037,,長崎県,島原市,しまばら湧水館,シマバラユウスイカン,,,長崎県島原市新町二丁目122,,32.78476,130.37057,月火水木金土日,09:00,18:00,,"1,000円","【令和3年7月頃からの予定】
　 【入館料】無料、※カフェ併設（有料）、
 　【かんざらし手作り体験】土日祝のみ（要予約有料）",島原の代表的なスポット「鯉の泳ぐまち」にある無料休憩所です。湧水のせせらぎを聞きながらリラックスできる、癒しのスペースとなっています。,,"島原鉄道　島原駅から
徒歩7分",周辺パーキングを利用,,"（株）島原観光ビューロー
（湧水館）",0957-62-8102,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2877&sub_id=7&flid=33218,CC BYに準拠,https://www.shimabaraonsen.com/guide/archives/80,
422037,,長崎県,島原市,銀水（浜の川湧水観光交流館）,ギンスイ,,,長崎県島原市白土桃山二丁目1093,,32.77887,130.37475,月火水木金土日,09:00,18:00,かんざらし等の提供は10:00から17:00まで,無料,【入館料】無料、※有料でかんざらし等提供しています。,「浜の川湧水」に隣接する「かんざらし」の元祖、「銀水」が平成28年8月に復活しました。昔から地元の人々に愛され、数多くの著名人も通った名店です。,,"島原鉄道　島原船津駅から
徒歩10分",駐車スペース8台　※銀水まで徒歩1分,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=3470&sub_id=9&flid=14172,CC BYに準拠,https://www.city.shimabara.lg.jp/page3470.html,
422037,,長崎県,島原市,浜の川湧水,ハマノカワユウスイ,,,長崎県島原市白土桃山二丁目1094,,32.77892,130.37471,月火水木金土日,00:00,00:00,終日開放,無料,無料,「浜の川湧水」には、4つの区画に区切られた洗い場があり、食料品を洗うところ、食器を洗うところなど用途によって上から順々に水を利用していく仕組みになっています。 島原湧水群は、全国「名水百選」と「水の郷」に選定されています,,"島原鉄道　島原船津駅から
徒歩10分",駐車スペース8台　※浜の川湧水まで徒歩1分,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=940&sub_id=4&flid=10021,CC BYに準拠,https://www.city.shimabara.lg.jp/kanko/page940.html,
