# 桜井市 観光施設一覧
市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
352128,1,山口県,柳井市,白壁の町並み,シラカベノマチナミ,,,山口県柳井市柳井津,,33.9692679,132.1080781,月火水木金土日,,,随時見学可能,無料,,"中世の町割りがそのまま今日も生きており、約200ｍの街路に面した両側に江戸時代の商家の家並みが続いています。藩政時代には岩国藩のお納戸と呼ばれ、産物を満載した大八車が往来してにぎわった町筋です。
昭和59年に国の重要伝統的建造物群保存地区に選定されました。往時の面影をしのばせる町並みで、心安らぐひとときを味わえます。",,JR柳井駅から徒歩5分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,柳井市経済部商工観光課,0820-22-2111,,,,,
352128,2,山口県,柳井市,国森家住宅,クニモリケジュウタク,,,山口県柳井市柳井津467,,,,火水木金土日,9:00,17:00,年末年始休館,200,高校生以上200円、中学生以下100円,18世紀後半に建てられたもので、江戸時代中期の豪商の家造りの典型として国の重要文化財に指定されています。細部まで往時のままに保存されており、内部見学も可能。当時の商人の暮らしぶりを、垣間見ることができます。,,JR柳井駅から徒歩5分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,国森家住宅,0820-22-0177,,,,,
352128,3,山口県,柳井市,むろやの園,ムロヤノソノ,,,山口県柳井市柳井津439,,,,月火木金土日,9:00,17:00,年末年始休館,450,大学生以上450円、中・高校生350円、小学生以下300円（団体割引あり）,山口県指定有形民俗文化財です。西日本でも有数の油商であった小田家の屋敷で、南北に119mの奥行きがあり、屋敷面積は約800坪と国内に現存する町家の中でも最大級のものといわれています。生活用具・文書などが展示してあります。,,JR柳井駅から徒歩5分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,むろやの園,0820-22-0016,,,,,
352128,4,山口県,柳井市,甘露醤油資料館,カンロショウユキネンカン,,,山口県柳井市柳井津3708-1,,,,月火水木金土日,8:00,17:00,不定休。日曜日・祝祭日は9:30～16:30,無料,,独特の製法による柳井の特産品「甘露醤油」の醤油蔵の一部を、資料館として公開。製造過程を見学できるほか、諸道具も展示してあります。,,JR柳井駅から徒歩5分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,佐川醤油店,0820-22-1830,,,,https://www.sagawa-shoyu.co.jp/info/news/%E6%9F%B3%E4%BA%95%E3%80%80%E7%94%98%E9%9C%B2%E9%86%A4%E6%B2%B9%E8%B3%87%E6%96%99%E9%A4%A8%E3%80%80%EF%BC%88%E4%BD%90%E5%B7%9D%E9%86%A4%E6%B2%B9%E8%94%B5%EF%BC%89/,
352128,5,山口県,柳井市,やない西蔵,ヤナイニシグラ,,,山口県柳井市柳井津3700-8,,,,月水木金土日,9:00,17:00,火曜日が祝日の場合は開館し、翌日を閉館。年末年始休館,無料,各種体験は有料,やない西蔵は、大正時代末期に建築された木造平屋建・白壁土蔵造りの建物で、昭和55年頃までは醤油蔵として使用されていましたが、平成10年に所有者よりご寄贈を受け、改修工事の後、平成13年4月にギャラリー及び体験工房として複合型観光施設に生まれ変わりました。金魚ちょうちん製作体験や柳井縞機織体験などができるほか、ギャラリーや休憩所の機能も備えています。,,JR柳井駅から徒歩5分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,やない西蔵,0820-23-2490,,,,https://www.city-yanai.jp/site/kanko-shisetsu/yanainishigura.html,
352128,6,山口県,柳井市,しらかべ学遊館,シラカベガクユウカン,,,山口県柳井市柳井津495,,,,月水木金土日,9:00,17:00,年末年始休館,無料,,柳井の伝統・文化を楽しめる施設。昔の民具や懐かしい生活用具などを多数展示している。なお、柳井市青少年育成センター、柳井市子ども会育成連絡協議会事務局の機能も兼ね備え、子どもたちが安心して学習できる環境づくりに配慮した複合施設となります。,,JR柳井駅から徒歩5分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,しらかべ学遊館,0820-22-4518,,,,https://www.city-yanai.jp/soshiki/28/gakuyukan.html,
352128,7,山口県,柳井市,白壁ふれあい広場,シラカベフレアイヒロバ,,,山口県柳井市柳井3714-1,,,,月火水木金土日,9:00,17:00,年末年始休館,無料,,"柳井市の観光の玄関口で、観光案内所・トイレ・休憩所があります。白壁の町並み情報はこちらで入手しましょう。観光バス専用の無料駐車場が併設されており、自家用車でお越しの方は、付近の駐車場をご利用ください。
",,JR柳井駅から徒歩10分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,柳井市観光協会,0820-23-3655,,,,https://www.city-yanai.jp/site/kanko-shisetsu/fureaihiroba.html,
352128,8,山口県,柳井市,柳井市町並み資料館,ヤナイシマチナミシリョウカン,,,山口県柳井市柳井津442,,,,火水金土日,10:00,17:00,年末年始休館,無料,, この建物は、周防銀行本店として明治40年（1907年）に建築されたもので、当時の銀行の重厚な姿を今日に伝える、日本でも数少ない建物の一つです。設計者は、明治期の洋風建築を多く手がけた長野宇平治氏の高弟佐藤節雄氏で、周防銀行はその後合併を重ね、最後の所有者の株式会社山口銀行から平成10年に柳井市に寄贈されました。また、平成12年には国の登録有形文化財となりました。1階は、町並み資料館として町並み保存地区の町家模型を展示し、2階は、柳井市出身の歌手、故松島詩子の記念館になっています。昭和の歌謡史を代表する歌手ゆかりの品々を展示してあり、代表曲「マロニエの木蔭」などのレコードやポスター、愛用したピアノなどを見学できます。,,JR柳井駅から徒歩5分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,柳井市町並み資料館,0820-23-2137,,,,https://www.city-yanai.jp/site/kanko-shisetsu/machinamishiryokan.html,
352128,9,山口県,柳井市,柳と井戸（湘江庵）,ヤナギトイド（ショウコウアン）,,,山口県柳井市柳井3058-1,,,,月火水木金土日,,,随時見学可能,無料,,般若姫の伝説が残る、柳井の地名発祥の地。ここの水を飲むと美人になれるという言い伝えも。,,JR柳井駅から徒歩5分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,柳井市観光協会,0820-23-3655,,,,,
352128,10,山口県,柳井市,国木田独歩旧宅,クニキダドッポキュウタク,,,山口県柳井市姫田11-5,,,,月火水木金土日,,,随時見学可能,無料,,明治の文豪、国木田独歩は、青年時代の数年間を柳井のこの地で過ごしました。旧宅には独歩ゆかりの品などが展示してあり、随時見学できます。,,JR柳井駅から徒歩10分。玖珂I.C.から車で約20分。,白壁周辺の観光客駐車場（無料）を使用,,柳井市経済部商工観光課,0820-22-2111,,,,https://www.city-yanai.jp/site/kanko-shisetsu/doppokyutaku.html,
