施設名等,設置場所,区,所在地,緯度,経度
馬宮西放課後児童クラブ,クラブ室内,西区,飯田新田189-2 馬宮西小学校内,35.886205,139.559354
栄放課後児童クラブ,１階保育室脇,西区,指扇610-3,35.9076897,139.5819062
佐知川放課後児童クラブ,１階職員更衣室,西区,佐知川299-16,35.9036393,139.5875339
春光園うえみず,医務室内,西区,佐知川299-16,35.90364809,139.5875343
植水保育園,玄関,西区,佐知川306,35.9035548,139.5871364
指扇保育園,玄関,西区,高木567-3,35.9274483,139.5707863
秋葉の森総合公園,事務室横ロビー,西区,中釘1241,35.935297,139.566423
指扇北放課後児童クラブ,クラブ室内,西区,中釘1538‐1,35.932242,139.572036
植水支所,事務室,西区,中野林173-2,35.893938,139.591685
植水老人憩いの家,１階事務室前,西区,中野林174-1,35.893749,139.592113
植水第二放課後児童クラブ,１階玄関脇,西区,中野林225-3,35.8936735,139.5936994
馬宮保育園,廊下,西区,西遊馬119,35.9014867,139.5741551
馬宮支所,受付カウンター横,西区,西遊馬236-2,35.90365,139.573128
馬宮荘,１階ロビー,西区,西遊馬533-1,35.905091,139.572728
馬宮コミュニティセンター,１階ロビー総合事務所前,西区,西遊馬533-1,35.905091,139.572728
馬宮児童センター,２階ボランティア室,西区,西遊馬533-1,35.905091,139.572728
西遊馬公園,事務所受付横,西区,西遊馬899-3,35.904504,139.561538
職業訓練センター（大宮建設高等職業訓練校）,校舎入口正面,西区,西遊馬1338-13,35.914634,139.561273
大宮ワークプラザ,１階事務室前（受付カウンター下）,西区,西遊馬1968-8,35.917111,139.561772
大宮花の丘農林公苑,１階ホール,西区,西新井124,35.939682,139.591445
指扇放課後児童クラブ,クラブ室内,西区,西大宮1-49-9,35.921916,139.572988
西区役所,１階ホール,西区,西大宮3-4-2,35.925224,139.579655
西部環境センター,事務室入口脇,西区,宝来52-1,35.934047,139.55289
宝来グラウンド・ゴルフ場,管理事務所,西区,宝来125-1,35.931009,139.554271
指扇駅南自転車駐車場,事務室内,西区,宝来1649-4,35.916481,139.56427
三橋総合公園プール,１階ロビー,西区,三橋5-190,35.912798,139.59501
三橋総合公園,事務所受付横,西区,三橋5-190,35.913193,139.595473
三橋プール,管理棟,西区,三橋6-1709-3,35.921966,139.58518
三橋西保育園,事務室,西区,三橋6-381-1,35.9129169,139.5860387
大宮西放課後児童クラブ,１階事務室内,西区,三橋6-382-1,35.913049,139.585798
子育て支援センターにし,事務所内,西区,三橋6-382-1 2階,35.913037,139.58586
西部文化センター,１階ロビー,西区,三橋6-642-4,35.917659,139.591937
三橋支所,受付カウンター前,西区,三橋6-642-4,35.917659,139.591937
みのり園,１階玄関,西区,三橋6-1587,35.920553,139.589646
ひまわり学園,外来受付脇,西区,三橋6-1587,35.920833,139.590651
宮前放課後児童クラブ,１階職員更衣室,西区,宮前町443,35.9241206,139.5946766
